data,addthis_stream-lib.json,square_javapoet.json,progether_jadventure.json,cowtowncoder_low-gc-membuffers.json,takahikokawasaki_nv-websocket-client.json,julman99_gson-fire.json,cowtowncoder_java-uuid-generator.json,avaje-metrics_metrics.json,laforge49_jactor.json,jakewharton_disklrucache.json,tumblr_jumblr.json,sanity_lastcalc.json,danieldk_dictomaton.json,square_protoparser.json,fasseg_exp4j.json,apache_commons-cli.json,jonbo372_efflux.json,yegor256_xembly.json,smartrics_restfixture.json,opendatalab-de_geojson-jackson.json,skyscreamer_jsonassert.json,thrau_jarchivelib.json,stateless4j_stateless4j.json,mpatric_mp3agic.json,dius_java-faker.json,apotapov_gdx-artemis.json,taksan_skype-java-api.json
[1],0.9869296594672872,0.8486855463976362,0.8696962572080092,0.9081493570150213,0.9071241006715577,0.8304560390739172,0.8614647271669507,0.9326875170902124,0.9698867693868575,0.9644783637275178,0.8544157110357955,0.8953972957920099,0.9567311490444742,0.8533022866570837,0.9379681399670124,0.7960226758547646,0.7840633526923617,0.9224426394699741,0.8290149177550655,0.8314973349883178,0.8197040220146883,0.8284715443463259,0.8321208290832239,0.8074291885336362,0.829047293255402,0.8404692251156489,0.9577838651113588
[2],0.9934648297336437,0.9243427731988182,0.9348481286040047,0.9540746785075107,0.9535620503357789,0.9152280195369585,0.9307323635834753,0.9663437585451062,0.9849433846934288,0.9822391818637589,0.9272078555178977,0.9476986478960049,0.978365574522237,0.9266511433285419,0.9689840699835063,0.8980113379273824,0.8920316763461809,0.961221319734987,0.9145074588775328,0.9157486674941588,0.909852011007344,0.914235772173163,0.9160604145416119,0.903714594266818,0.9145233902281444,0.9202346125578246,0.9788919325556795
[4],0.9967324704684415,0.9621698571799665,0.9674226625553041,0.9770334242846227,0.9767830138185345,0.9576081744748829,0.9653529248748504,0.9831716734508021,0.9924712237956105,0.9911178714670679,0.9636085426435766,0.9738491525505905,0.9891823702391696,0.9633254632610718,0.9844917552247531,0.9490005953438331,0.9460193713258405,0.9806103124426068,0.957252335861081,0.957860750097352,0.9549358532497562,0.9571044925200336,0.958030358623625,0.951854531801623,0.9572625872306524,0.9600963621603186,0.9894457053921148
"[1, 3]",0.9965348476165724,0.9621885981985302,0.9665968060062761,0.9764538140471355,0.9765475989815743,0.9568722826323464,0.9625363656196749,0.9753978356576227,0.9925369053165718,0.9912366907940089,0.9635041552532615,0.9736406946621581,0.985013777996786,0.9632053050899638,0.9844931248303651,0.9491103987840072,0.9452417371760035,0.9803445092425919,0.9572717122129195,0.9575220867406543,0.9547586245584267,0.9563816939456539,0.9575056780239377,0.9515309925951346,0.9572683457485309,0.9578323077440398,0.9871514486305287
"[1, 1, 2]",0.9968476661297396,0.962270756635226,0.9660758854981445,0.9768393128255143,0.975476758662089,0.9571183065226319,0.9609279645276744,0.9784880234070998,0.9916052923686316,0.9904019395876418,0.9624652955104693,0.9706682874106953,0.973539781851894,0.9628790182355862,0.9844175783451992,0.9489791696692218,0.9424135122518102,0.9797633859402735,0.9573809274753552,0.9572312779887072,0.9545862525003592,0.9559260856734241,0.957056848118822,0.9513773000484924,0.9572784638526757,0.9590935183717388,0.9858770138233696
"[2, 2]",0.9966745286027701,0.9621491849366517,0.9669826103217954,0.9765020159263207,0.9758005612578327,0.9571007017385614,0.963153338011089,0.9802185931716028,0.9922171756592192,0.9908819405276681,0.9632485259297089,0.9717734787561146,0.9857689106212524,0.9632148648970928,0.984400327786709,0.9489511516404844,0.9421761950640863,0.9798563731893714,0.9572785386992094,0.9571962921047508,0.9548886393972857,0.9582642845792376,0.9576751014522533,0.9516546942222001,0.9572672106049837,0.9598050659787772,0.9886468250564656
[8],0.9983661949093194,0.9810858010449497,0.9837079888976529,0.9885211188391079,0.9883884684876496,0.9788116849875106,0.9826582427755208,0.9915851454938789,0.9962366955072798,0.9955529626496209,0.981764464459817,0.9869248842224686,0.9945909604956735,0.9816635202638101,0.9922455560891079,0.9744947663369722,0.9730095224851828,0.9903046412150007,0.9786279018103562,0.9789394409559969,0.9774599423812718,0.9785010555946517,0.9790209674105276,0.9759414990724316,0.9786295218388247,0.9800393903147863,0.9947222147768533
"[1, 7]",0.9984012887068318,0.9810516706271363,0.9830141531509309,0.9889545115777515,0.9882018901791708,0.9788076497336337,0.9832277497046921,0.9884785435945098,0.9960605974012967,0.9957507363539513,0.981609489762756,0.9852934880498315,0.9915056847079232,0.9812093298297418,0.992269489738397,0.97432958041876,0.9733790136402399,0.9903216418727918,0.9786784411487714,0.9794021977219627,0.9773252399691696,0.9764509318744183,0.9787142623889161,0.9758565342302442,0.9786509637783938,0.9798919888746379,0.993094031434943
"[2, 6]",0.9982673896388656,0.9810940168118413,0.9833013348028685,0.988230085186712,0.9882725057589549,0.9784378503648741,0.9812376987800492,0.9876988864896971,0.9962681478505978,0.9956205662091873,0.981763963043781,0.9868203560429918,0.9925055004142141,0.9816024255757836,0.9922461281499886,0.9745486950197247,0.9726245223503838,0.9901728105011147,0.9786325306007854,0.9787572101343458,0.9773781864931804,0.9782452157726271,0.9787516236029677,0.9757639206765207,0.9786342219070931,0.9789114102213063,0.9935758641392916
"[3, 5]",0.9983649886518293,0.9810862844909549,0.9834481236642109,0.9881782291268677,0.9882156407003599,0.9785643951352245,0.9816939371962161,0.9902711129072368,0.996050277483856,0.9954629002945415,0.9816587585310367,0.9862105963978438,0.9926894042220872,0.9815899144915565,0.9922158726016244,0.9745110136514309,0.9721601185096055,0.9899672793879218,0.9786480056165611,0.9786344857379284,0.9774055434780102,0.9784472543188576,0.9787824537135561,0.9758781839522197,0.9786205159188953,0.9798062428845239,0.9936411239886211
