data,addthis_stream-lib.json,square_javapoet.json,progether_jadventure.json,cowtowncoder_low-gc-membuffers.json,takahikokawasaki_nv-websocket-client.json,julman99_gson-fire.json,cowtowncoder_java-uuid-generator.json,avaje-metrics_metrics.json,laforge49_jactor.json,jakewharton_disklrucache.json,tumblr_jumblr.json,sanity_lastcalc.json,danieldk_dictomaton.json,square_protoparser.json,fasseg_exp4j.json,apache_commons-cli.json,jonbo372_efflux.json,yegor256_xembly.json,smartrics_restfixture.json,opendatalab-de_geojson-jackson.json,skyscreamer_jsonassert.json,thrau_jarchivelib.json,stateless4j_stateless4j.json,mpatric_mp3agic.json,dius_java-faker.json,apotapov_gdx-artemis.json,taksan_skype-java-api.json
[1],0.6337825115534581,0.8279585091231559,0.8469946967784525,0.7332166907136681,0.8921419467780903,0.7008029363988604,0.6538696635750241,0.4860308939295258,0.7542355568328449,0.7415464216331391,0.8000269278982312,0.8643162784890908,0.7018356878641444,0.8575628711454533,0.777696306658037,0.7736272108581329,0.7170122014379505,0.8668234574743764,0.7205779207548353,0.6531590732087227,0.8045062947961021,0.7357494722026742,0.8340719045137996,0.7531865582673827,0.6688506791877091,0.8228444610972604,0.694388321253967
[2],0.816891255776729,0.9139792545615779,0.9234973483892263,0.8666083453568341,0.9460709733890451,0.8504014681994301,0.826934831787512,0.7430154469647628,0.8771177784164225,0.8707732108165697,0.9000134639491156,0.9321581392445454,0.8509178439320723,0.9287814355727266,0.8888481533290186,0.8868136054290664,0.8585061007189753,0.9334117287371881,0.8602889603774176,0.8265795366043613,0.9022531473980512,0.867874736101337,0.9170359522568998,0.8765932791336913,0.8344251377227105,0.9114222305486301,0.8471941606269834
[4],0.9084455868698879,0.9569892311058732,0.9617529050959748,0.9333059809165678,0.973031161933826,0.9252030049190536,0.9134631312267709,0.871507041490893,0.9385590071397573,0.9353861784796641,0.949992070198245,0.9660791199998545,0.9254586424624193,0.964392242883872,0.9444254901142034,0.943400785384623,0.929266267756221,0.9667050877717884,0.9301446049803537,0.9132820714077103,0.9511331939356634,0.933945199881955,0.9585230258088662,0.9382924511331464,0.9172115982189764,0.9557218515369429,0.9235975051462391
"[1, 3]",0.9239000392316533,0.9568398073893788,0.962228799703869,0.935683495168815,0.9732403916385003,0.9244288256382625,0.920467264554601,0.9550965769863902,0.9536185580346581,0.9573777495769882,0.952757713914295,0.9643392165763305,0.9336101631599173,0.9641942132746222,0.9585202841514082,0.9438856219227302,0.9341462895510909,0.9721697760512804,0.9300696967724877,0.9133444071261683,0.9510621041978371,0.9362532065106354,0.9589261104710466,0.9388060753044771,0.9173942940467783,0.9541290417105004,0.9300809138862682
"[1, 1, 2]",0.9293001797491419,0.9570291168088981,0.9653157506610182,0.9392281949415834,0.972598020516369,0.9293498256532958,0.9247259680300949,0.9615455245373099,0.977755842510222,0.9667612568151908,0.9522429082130089,0.9612017905480444,0.9802841466952399,0.9640656945067763,0.9777624903438628,0.9436162047480032,0.9375064738993661,0.9710550789703579,0.9301509433737255,0.9132137120327103,0.950938398371491,0.9343204467548977,0.9578353978469374,0.9393745055043725,0.9175251497800233,0.9529766107996714,0.9465811685178832
"[2, 2]",0.9237924681375373,0.9568916264541449,0.9648063745152826,0.9371046541002231,0.9709080371057074,0.9226861181728054,0.909056960520135,0.9368133268944672,0.9713929366624139,0.9609005843830294,0.9502265657644273,0.9614486122907967,0.9267170870771184,0.9641714892539909,0.9696971104662088,0.9436237984193433,0.9244373560665935,0.9685919727684287,0.9300334773817913,0.9146572600272586,0.9510331104046451,0.9336507684275045,0.958791901798622,0.9390677452475377,0.9172421441441303,0.9546591056477065,0.9421696757869458
[8],0.9542228153186896,0.9784948938734928,0.980871873615695,0.966653100429327,0.9865146125162271,0.9626014530078862,0.9567407638892984,0.9357539480970058,0.9692805576964667,0.9676967240082723,0.9749600817122428,0.9830398465460978,0.9627293311223194,0.98219558349106,0.972211797189803,0.9716958165888515,0.9646217043418048,0.9833532251111623,0.9650758733200404,0.9566508773851246,0.9755766598812122,0.9669544391727771,0.9792629301171929,0.9691623243300921,0.9586075002982577,0.977846022298761,0.9617986301712554
"[1, 7]",0.9525637512487625,0.9785006437842383,0.9807799549580614,0.9688793165205414,0.9870752641430763,0.9627718079757189,0.9590459343817009,0.9783733953988452,0.9730714581709506,0.9799430030707527,0.9752036027670736,0.9826414344929318,0.969222424128488,0.9817762406204131,0.9780067154519072,0.9718132891133777,0.9710063809590026,0.983946760337866,0.9647887247639777,0.9561772597838785,0.9756080973601278,0.9673019908742141,0.9789145159278202,0.9693427999745392,0.9587092503159076,0.977947044045097,0.9679565482316951
"[2, 6]",0.9619499540007135,0.9784194466091598,0.9811152129933258,0.9678455855738101,0.9866191756192909,0.9622171346374325,0.9602273625123087,0.9775481779977918,0.9768093819806403,0.9786896894779721,0.9763880217280282,0.982169620787866,0.9668043572954719,0.9820966425361145,0.9792602135833143,0.9719386883833797,0.9670705197423779,0.9860851482536926,0.9650342585008238,0.9566716255354362,0.9755295382432974,0.9681757508342602,0.9794645779366116,0.9694002381881466,0.9586968197918525,0.9770604016851369,0.9650407464190753
"[3, 5]",0.961181805240071,0.978461081316949,0.9820182233486093,0.9677130767509904,0.9861406426964033,0.9623008107695387,0.9597784355462263,0.9741695020736791,0.9832768559159544,0.9780694209437865,0.9749511119364873,0.981973496695079,0.9612849712947232,0.9821158841039717,0.9872981282752572,0.9718958726458572,0.9639050560976682,0.9839801866993219,0.9649860778522685,0.9565354239680685,0.9755139616679461,0.9668209575265033,0.9791272446081706,0.969911466948089,0.9586676169875947,0.9774852646596821,0.9704377269348429
"[4, 4]",0.9618962308356963,0.978445751548678,0.9824034887775261,0.9685520804007721,0.9854517859413489,0.9613457096943414,0.9545300919237958,0.9684064865775882,0.985696835733331,0.9804504997806605,0.9750879613723944,0.980724351220077,0.9633588606922067,0.9820861396211524,0.9848485458379439,0.9718134923095487,0.9622293626277575,0.9842954795526149,0.9650194768666104,0.9573290255062306,0.9755231370162291,0.96678713309573,0.9793967443549985,0.9695345564998827,0.9586205045613536,0.9773378872380184,0.9710848012622582
"[2, 2, 2, 2]",0.9661048497950779,0.9782671698190469,0.9827909129605115,0.9726082554947817,0.98446560743297,0.964156560729384,0.9627941531984646,0.9841294528415476,0.989142972404744,0.9836198455223414,0.9768796137239426,0.9771774024197603,0.9867446685961351,0.981696390823886,0.9887517485437501,0.9716714686600281,0.9687592674312844,0.9843156056719361,0.9649400429385476,0.956386292834891,0.9752934151891205,0.9661812444666409,0.9786571886168003,0.9701021447695624,0.958975605551454,0.9744887665547405,0.9852084494810875
"[1, 1, 3, 3]",0.9654417054447867,0.978447263309161,0.9821724956768784,0.9735608309537694,0.9853466462035254,0.9621848802993367,0.9678546593788019,0.9836143449860221,0.9891908952492092,0.9824313310772702,0.9755267004039184,0.9790340375184957,0.990217850096467,0.981874726281922,0.9872340720713196,0.9721051898396886,0.965228030246058,0.9836797227576654,0.964802081303162,0.9574315189349688,0.9753244377025359,0.9674761072393362,0.9794248959793354,0.9696718636946345,0.9589755510841036,0.9758698774576915,0.9795464072819281
[100],0.9963378217524168,0.9982805983060196,0.9984689590090132,0.9973341542409861,0.9989281986225821,0.9970000498472538,0.9965469318443133,0.9948604340647518,0.9975430214279806,0.9974155778028452,0.998004438460467,0.9986430616509484,0.9970184379219276,0.9985738827424274,0.9977768670271624,0.9977190810840704,0.9971531018668952,0.9986684607415328,0.9972058392608654,0.9965260842581776,0.9980518752982565,0.997390751628794,0.9983436130944955,0.9975327145853494,0.9966893840703785,0.9982312307551892,0.9969441088072162
