**Scenario**,**GA**,**SA**,**CAAG**
Sequential ($c=1$),**0.932**,0.872,0.876
Parallel ($c=2$),**0.964**,0.936,0.938
Parallel ($c=4$),**0.980**,0.965,0.969
Asymmetric ($1:3$),**0.982**,0.963,0.968
Asymmetric ($1:1:2$),**0.981**,0.965,0.967
Asymmetric ($2:2$),**0.982**,0.966,0.968
Parallel ($c=8$),**0.987**,0.981,0.985
Asymmetric ($1:7$),**0.991**,0.976,0.984
Asymmetric ($2:6$),**0.991**,0.982,0.984
Asymmetric ($3:5$),**0.991**,0.983,0.984
Asymmetric ($4:4$),**0.991**,0.984,0.984
Asymmetric ($2:2:2:2$),**0.990**,0.983,0.983
Asymmetric ($1:1:3:3$),**0.990**,0.980,0.983
Parallel ($c=100$),0.992,0.992,**0.999**
